raccolta fondi	sviluppo	bn:22269814n	bn:09072300n	Raccolta di fondi,Consulente del fund raising,Fund raising,Raccolta fondi	Sviluppo (informatica)
patologia	ematologia	bn:00061013n	bn:00042468n	patologia	ematologia
valle	depressione	bn:00079476n	bn:00026404n	valle,vallata,conca	depressione (geografia),avvallamento
telescopio	sedia	bn:00069738n	bn:00017515n	telescopio,cannocchiale	sedia,seggiola,gamba della sedia
heavy metal	palco	bn:00043479n	bn:00073816n	Heavy metal,metal,musica metal	palcoscenico,palco,palco scenico
globalismo	visto	bn:03571132n	bn:00080087n	Mondialismo,Globalismo	visto,Visto d'ingresso,nulla osta
pipistrello	vampiro	bn:00008977n	bn:00049788n	pipistrello,chiroptera,Chirotteri	vampiro,Lamia,Vampiri
deputato	dirigente	bn:00026427n	bm:00032179n	deputato,deputata,deputati	direttore esecutivo,alta dirigenza,amministratore,dirigente
elettricità	cassa	bn:00030192n	bn:00052076n	elettricità	altoparlante,amplificatore,cassa
forestiero	straniero	bn:00002726n	bn:00002725n	sconosciuto,estraneo,forestiero	straniero,forestiero,foresto
bottone	macchina da cucire	bn:00014305n	bn:00070769n	bottone	macchina da cucire,Macchina per cucire,cucitrice
mago	cavo	bn:00052696n	bn:00021675n	mago,stregone,negromante	Filo,cavo,filo di metallo
filosofo	corsa	bn:00061979n	bn:00068552n	Filosofo	corsa,Gara
pop corn	cinema	bn:00063566n	bn:00019129n	Pop-corn,pop corn,popcorn	cinema,cinematografo,sala cinematografica
agricoltura	pianta	bn:00002096n	bn:00035324n	agricoltura,agraria	flora,pianta,Plantae
poeta	giornalista	bn:00063196n	bn:00048461n	poeta,poetessa,cantore	giornalista,articolista,reporter
tempo	onda	bn:00009396n	bn:00079036n	ritmo,tempo,Ritmi	onda,onde,ondulazione
civiltà	stile di vita	bn:00057620n	bn:00051057n	compitezza,educazione,buone maniere,civiltà	stile di vita,Modus vivendi,vita
neve	ghiaccio	bn:00072456n	bn:00045705n	neve	ghiaccio,Ghiacci,Ghiacciato
Seconda Guerra Mondiale	Beethoven	bn:00070139n	bn:00009608n	Seconda guerra mondiale,World War II	Ludwig van Beethoven,Beethoven
scheda madre	scheda madre	bn:00023437n	bn:00023437n	scheda madre,motherboard	scheda madre,motherboard
circolo	marchio	bn:00020039n	bn:00012758n	club,circolo,associazione	Marca (commercio),marchio,nome commerciale
Alessandro Magno	conquistatore	bn:00002612n	bn:6834881n	Alessandro Magno,Aleksandr,Alessandro	conquistatore
app	galassia	bn:02709719n	bn:00032476n	Applicazione mobile,app	galassia,nebulosa
cloud computing	pioggia	bn:01225375n	bn:00066032n	Cloud computing	pioggia,acqua,acqua piovana
televisione	attore	bn:00076373n	bn:00001176n	televisione,TV,tivvù	attore,attrice,istrione
delta	mare	bn:00026081n	bn:00069946n	delta,Delta fluviale,Delta fluviali	mare,acque
filato	filo	bn:00077028n	bn:00077028n	filo,filato,refe	filo,filato,refe
